Tiempo de aparición,Tipo de objeto,Diferencia de tiempo
00:00:00,carrito completo,00:00:00
00:00:02,carrito completo,00:00:02
00:00:05,carrito completo,00:00:02
00:00:08,carrito completo,00:00:02
00:00:08,carrito completo,00:00:00
00:00:11,carrito completo,00:00:02
00:00:14,carrito completo,00:00:02
00:00:17,carrito completo,00:00:02
00:00:20,carrito completo,00:00:02
00:00:22,carrito completo,00:00:02
00:00:22,carrito completo,00:00:00
00:00:25,carrito completo,00:00:02
00:00:28,carrito completo,00:00:02
00:00:31,carrito completo,00:00:02
00:00:34,carrito completo,00:00:02
00:00:34,carrito completo,00:00:00
00:00:37,carrito completo,00:00:02
